"Schluessel","Bezeichnung","Ausgabe"
"6.6.","LWS","2014"
"6.7.","Knöchernes Becken","2014"
"6.8.","Hüfte","2014"
"6.9.","Achsel","2014"
"6.10.","Oberarm","2014"
"6.11.","Unterarm","2014"
"6.12.","Hand","2014"
"6.13.","Leiste","2014"
"6.14.","Oberschenkel","2014"
"6.15.","Unterschenkel","2014"
"6.16.","Fuß","2014"
"7.","Haut","2014"
"7.+","Haut mit Lymphknoten","2014"
"7.-","Haut ohne Lymphknoten","2014"
"7.1.","Primärer Hauttumor (auch kutane Lymphome)","2014"
"7.2.","Hautmetastasen","2014"
"8.","Sonstiges","2014"
"8.1.","Ganzkörperbestrahlung","2014"
"8.2.","Mantelfeldbestrahlung","2014"
