Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
SO;Zoledronat;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure Fresenius Kabi;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure IBIGEN;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure medac;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure Mylan;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure onkovis;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure Teva;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledronsäure-hameln;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zoledron-Uropharm;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Zometa;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
CH;Zorubicin;Zorubicin;;ja;Zytostatikum;Anthrazyklin;L01DB05
ZS;Zotarolimus;Zotarolimus;;nein;Supportiv;Proteinkinase-Inhibitor;
