Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
ZS;Denileukin diftitox;Denileukin diftitox;Ontak, Denileukindiftitox;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX29
ZS;Denileukindiftitox;Denileukin diftitox;Ontak, Denileukindiftitox;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX29
ZS;Ontak;Denileukin diftitox;Ontak, Denileukindiftitox;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX29
IM;Denosumab;Denosumab;Prolia, Xgeva;nein;Supportiv;Antikörper (supportiv);M05BX04
IM;Prolia;Denosumab;Prolia, Xgeva;nein;Supportiv;Antikörper (supportiv);M05BX04
IM;Xgeva;Denosumab;Prolia, Xgeva;nein;Supportiv;Antikörper (supportiv);M05BX04
IM;Depatuximab-Mafodotin;Depatuximab-Mafodotin;;ja;Anderes antineoplastisches Mittel;Antikörper;
SO;Dexa Loscon mono;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;Dexabene;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;DexaGalen;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;Dexamethason;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;Dexa-Ophtal;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;Fortecortin;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;Otobacid;Dexamethason;Fortecortin, Dexa-Ophtal, Otobacid, Dexa Loscon mono, Dexabene, DexaGalen;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;H02AB02
SO;Cardioxane;Dexrazoxan;Cardioxane, Savene, Cyrdanax;nein;Supportiv;Sonstiges Supportivum;V03AF02
SO;Cyrdanax;Dexrazoxan;Cardioxane, Savene, Cyrdanax;nein;Supportiv;Sonstiges Supportivum;V03AF02
SO;Dexrazoxan;Dexrazoxan;Cardioxane, Savene, Cyrdanax;nein;Supportiv;Sonstiges Supportivum;V03AF02
SO;Savene;Dexrazoxan;Cardioxane, Savene, Cyrdanax;nein;Supportiv;Sonstiges Supportivum;V03AF02
SO;Dinatriumfolinat;Dinatriumfolinat;Oncofolic, Ribosofol;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF06
SO;Oncofolic;Dinatriumfolinat;Oncofolic, Ribosofol;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF06
SO;Ribosofol;Dinatriumfolinat;Oncofolic, Ribosofol;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF06
CH;Bendadocel;Docetaxel;Taxotere, Ribodocel, Bendadocel, Eurotere, Taxceus;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD02
CH;Docetaxel;Docetaxel;Taxotere, Ribodocel, Bendadocel, Eurotere, Taxceus;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD02
CH;Eurotere;Docetaxel;Taxotere, Ribodocel, Bendadocel, Eurotere, Taxceus;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD02
CH;Ribodocel;Docetaxel;Taxotere, Ribodocel, Bendadocel, Eurotere, Taxceus;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD02
CH;Taxceus;Docetaxel;Taxotere, Ribodocel, Bendadocel, Eurotere, Taxceus;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD02
CH;Taxotere;Docetaxel;Taxotere, Ribodocel, Bendadocel, Eurotere, Taxceus;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD02
SO;Anzemet;Dolasetron;Anzemet;nein;Supportiv;Antiemetikum;A04AA04
SO;Dolasetron;Dolasetron;Anzemet;nein;Supportiv;Antiemetikum;A04AA04
CH;Doxifluridin;Doxifluridin;Flurtulon;ja;Zytostatikum;Antimetabolit;L01BC00
CH;Flurtulon;Doxifluridin;Flurtulon;ja;Zytostatikum;Antimetabolit;L01BC00
CH;Adriblastin;Doxorubicin;Adriblastin, Adrimedac, Ribodoxo, Onkodoxo;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Adrimedac;Doxorubicin;Adriblastin, Adrimedac, Ribodoxo, Onkodoxo;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Doxorubicin;Doxorubicin;Adriblastin, Adrimedac, Ribodoxo, Onkodoxo;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Onkodoxo;Doxorubicin;Adriblastin, Adrimedac, Ribodoxo, Onkodoxo;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Ribodoxo;Doxorubicin;Adriblastin, Adrimedac, Ribodoxo, Onkodoxo;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Doxorubicin liposomal;Doxorubicin liposomal;Myocet;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Myocet;Doxorubicin liposomal;Myocet;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Caelyx;Doxorubicin PEG-liposomal;Caelyx, Doxorubicin liposomal pegyliert;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Doxorubicin liposomal pegyliert;Doxorubicin PEG-liposomal;Caelyx, Doxorubicin liposomal pegyliert;ja;Zytostatikum;Anthrazyklin;L01DB01
CH;Doxorubicin PEG-liposomal;Doxorubicin PEG-liposomal;Caelyx, Doxorubicin liposomal pegyliert;ja;Zytostatikum;Anthrazyklin;L01DB01
IM;Durvalumab;Durvalumab;Infimzi;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC28
IM;Infimzi;Durvalumab;Infimzi;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC28
SO;Avodart;Dutasterid;Avodart;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB02
SO;Dutasterid;Dutasterid;Avodart;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB02
IM;Eculizumab;Eculizumab;Soliris;nein;Supportiv;Antikörper (supportiv);L04AA25
IM;Soliris;Eculizumab;Soliris;nein;Supportiv;Antikörper (supportiv);L04AA25
IM;Edrecolomab;Edrecolomab;Panorex;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC01
IM;Panorex;Edrecolomab;Panorex;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC01
IM;Efalizumab;Efalizumab;Raptiva;nein;Supportiv (GVHD);Antikörper (supportiv);L04AA21
IM;Raptiva;Efalizumab;Raptiva;nein;Supportiv (GVHD);Antikörper (supportiv);L04AA21
SO;Efaproxiral;Efaproxiral;;ja;Anderes antineoplastisches Mittel;Photosensibilisator;L01XD06
ZS;Efti;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;Eftilagimod alpha;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;hLAG-31g;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;ImmuFact;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;IMP321;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;LAG-3Ig;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;LAG-3-Ig-fusion protein;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
ZS;sLAG-3-Ig;Eftilagimod alpha;Efti, ImmuFact, IMP321, hLAG-31g, LAG-3-Ig-fusion protein, LAG-3Ig, sLAG-3-Ig;ja;Immunmodulator;sonstiges Immunstimulanz;
IM;Elotuzumab;Elotuzumab;Empliciti;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC23
IM;Empliciti;Elotuzumab;Empliciti;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC23
IM;B-E8;Elsilimomab;B-E8;ja;Immunmodulator;Interleukin-Antikörper;
IM;Elsilimomab;Elsilimomab;B-E8;ja;Immunmodulator;Interleukin-Antikörper;
ZS;Eltrombopag;Eltrombopag;Revolade;nein;Supportiv;Sonstiges Supportivum;B02BX05
ZS;Revolade;Eltrombopag;Revolade;nein;Supportiv;Sonstiges Supportivum;B02BX05
SO;EmboCept;EmboCept;;ja;Anderes antineoplastisches Mittel;Chemoembolisation;
SO;Embozene;Embozene;Embozene Microspheres;ja;Anderes antineoplastisches Mittel;Chemoembolisation;
SO;Embozene Microspheres;Embozene;Embozene Microspheres;ja;Anderes antineoplastisches Mittel;Chemoembolisation;
ZS;Enasidenib;Enasidenib;Idhifa;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX59
ZS;Idhifa;Enasidenib;Idhifa;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX59
ZS;Braftovi;Encorafenib;Braftovi;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE46
ZS;Encorafenib;Encorafenib;Braftovi;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE46
IM;Enfortumab Vedotin;Enfortumab Vedotin;Padcev;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC36
IM;Padcev;Enfortumab Vedotin;Padcev;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC36
ZS;Entospletinib;Entospletinib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
HO;Enzalutamid;Enzalutamid;Xtandi;ja;Endokrine Therapie;Antiandrogen;L02BB04
HO;Xtandi;Enzalutamid;Xtandi;ja;Endokrine Therapie;Antiandrogen;L02BB04
ZS;Enzastaurin;Enzastaurin;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
CH;Axirubicin-e;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
CH;Bendaepi;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
CH;Ellence;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
CH;Epi-cell;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
CH;Epirubicin;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
CH;Farmorubicin;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
CH;Riboepi;Epirubicin;Axirubicin-e, Bendaepi, Ellence, Epi-cell, Farmorubicin, Riboepi;ja;Zytostatikum;Anthrazyklin;L01DB03
ZS;Balversa;Erdafitinib;Balversa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX16
ZS;Erdafitinib;Erdafitinib;Balversa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX16
CH;Eribulin;Eribulin;Halaven;ja;Zytostatikum;Mitosespindelgift;L01XX41
CH;Halaven;Eribulin;Halaven;ja;Zytostatikum;Mitosespindelgift;L01XX41
ZS;Erlotinib;Erlotinib;Tarceva;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE03
ZS;Tarceva;Erlotinib;Tarceva;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE03
SO;Aranesp;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Dynepo;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Epo;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Epoetin;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Erypo;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Erythropoetin;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Methoxy-Polyethylenglycol-Epoetin beta;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;NeoRecormon;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
SO;Retacrit;Erythropoetin;Erypo, NeoRecormon, Dynepo, Retacrit, Aranesp, Epoetin, Epo, Methoxy-Polyethylenglycol-Epoetin beta;nein;Supportiv;Sonstiges Supportivum;B03XA01
CH;Estramusin Uropharm;Estramustin;Multosin, Estramusin Uropharm;ja;Zytostatikum;Alkylanz;L01XX11
CH;Estramustin;Estramustin;Multosin, Estramusin Uropharm;ja;Zytostatikum;Alkylanz;L01XX11
CH;Multosin;Estramustin;Multosin, Estramusin Uropharm;ja;Zytostatikum;Alkylanz;L01XX11
SO;Benepali;Etanercept;Enbrel, Erelzi, Benepali;nein;Supportiv;TNF-alpha-Inhibitor;L04AB01
SO;Enbrel;Etanercept;Enbrel, Erelzi, Benepali;nein;Supportiv;TNF-alpha-Inhibitor;L04AB01
SO;Erelzi;Etanercept;Enbrel, Erelzi, Benepali;nein;Supportiv;TNF-alpha-Inhibitor;L04AB01
SO;Etanercept;Etanercept;Enbrel, Erelzi, Benepali;nein;Supportiv;TNF-alpha-Inhibitor;L04AB01
SO;Didronel;Etidronsäure;Etidronat, Didronel, Diphos;nein;Supportiv;Bisphosphonat;M05BA01
SO;Diphos;Etidronsäure;Etidronat, Didronel, Diphos;nein;Supportiv;Bisphosphonat;M05BA01
SO;Etidronat;Etidronsäure;Etidronat, Didronel, Diphos;nein;Supportiv;Bisphosphonat;M05BA01
SO;Etidronsäure;Etidronsäure;Etidronat, Didronel, Diphos;nein;Supportiv;Bisphosphonat;M05BA01
CH;Epodyl;Etoglucid;Epodyl;ja;Zytostatikum;Alkylanz;L01AG01
CH;Etoglucid;Etoglucid;Epodyl;ja;Zytostatikum;Alkylanz;L01AG01
CH;Eto-cell;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Eto-Gry;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Etomedac;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Etopophos;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Etoposid;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Etoposidphosphat;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Lastet;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Neoposid;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Riboposid;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
CH;Vepesid;Etoposid;Vepesid, Eto-cell, Eto-Gry, Etomedac, Etopophos, Lastet, Neoposid, Riboposid, Etoposidphosphat;ja;Zytostatikum;Topoisom.-Inhibitor;L01CB01
ZS;Afinitor;Everolimus;Certican, Zortress, Afinitor;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE10
ZS;Certican;Everolimus;Certican, Zortress, Afinitor;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE10
ZS;Everolimus;Everolimus;Certican, Zortress, Afinitor;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE10
ZS;Zortress;Everolimus;Certican, Zortress, Afinitor;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE10
HO;Aromasin;Exemestan;Aromasin;ja;Endokrine Therapie;Aromatasehemmer;L02BG06
HO;Exemestan;Exemestan;Aromasin;ja;Endokrine Therapie;Aromatasehemmer;L02BG06
SO;Fentanyl;Fentanyl;;nein;Supportiv;Analgetikum;N02AB03
SO;Filgrastim;Filgrastim;Neupogen;nein;Supportiv;Sonstiges Supportivum;L03AA02
SO;Neupogen;Filgrastim;Neupogen;nein;Supportiv;Sonstiges Supportivum;L03AA02
HO;Alofin;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Androfin;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Crinormin;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;FinaHAIR;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Finamed;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Finascar;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Finastad;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Finasterax;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Finasterid;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Finural;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Prezepa;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Propecia;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Proscar ;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
HO;Prosmin;Finasterid;Prosmin, Propecia, Crinormin, Alof?n, Androfin, FinaHAIR, Finascar, Finural, Prezepa, Finasterax, Finastad, Finamed, Proscar ;ja;Endokrine Therapie;Sonstige endokrine Therapie;G04CB01
SO;Fingolimod;Fingolimod;Gilenya;nein;Supportiv;Sonstiges Supportivum;L04AA27
SO;Gilenya;Fingolimod;Gilenya;nein;Supportiv;Sonstiges Supportivum;L04AA27
CH;Floxuridin;Floxuridin;FUDR;ja;Zytostatikum;Antimetabolit;L01BC09
CH;FUDR;Floxuridin;FUDR;ja;Zytostatikum;Antimetabolit;L01BC09
CH;Bendarabin;Fludarabin;Fludura, Bendarabin, Neoflubin, Fludarabinphosphat;ja;Zytostatikum;Antimetabolit;L01BB05
CH;Fludarabin;Fludarabin;Fludura, Bendarabin, Neoflubin, Fludarabinphosphat;ja;Zytostatikum;Antimetabolit;L01BB05
CH;Fludarabinphosphat;Fludarabin;Fludura, Bendarabin, Neoflubin, Fludarabinphosphat;ja;Zytostatikum;Antimetabolit;L01BB05
CH;Fludura;Fludarabin;Fludura, Bendarabin, Neoflubin, Fludarabinphosphat;ja;Zytostatikum;Antimetabolit;L01BB05
CH;Neoflubin;Fludarabin;Fludura, Bendarabin, Neoflubin, Fludarabinphosphat;ja;Zytostatikum;Antimetabolit;L01BB05
CH;5 FU;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;5-Fluorouracil;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;5-FU;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;Efudix;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;Fluorouracil;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;Haemato-fu;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;Neofluor;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;Onkofluor;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
CH;Ribofluor;Fluorouracil;5-FU, 5-Fluorouracil, 5 FU , Efudix, Haemato-fu, Neofluor, Onkofluor, Ribofluor;ja;Zytostatikum;Antimetabolit;L01BC02
HO;Flucinorm;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
HO;Flumid;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
HO;FLUTA-cell;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
HO;Flutamid;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
HO;Fugerel;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
HO;Prostakynol;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
HO;Prostica;Flutamid;FLUTA-cell, Flucinorm, Flumid, Fugerel, Prostakynol, Prostica;ja;Endokrine Therapie;Antiandrogen;L02BB01
IM;Flysyn;Flysyn;;ja;Anderes antineoplastisches Mittel;Antikörper;
SO;Calciumfolinat;Folinsäure;Haemato-folin, Leucovorin, Ribofolin, Calciumfolinat;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF03
SO;Folinsäure;Folinsäure;Haemato-folin, Leucovorin, Ribofolin, Calciumfolinat;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF03
SO;Haemato-folin;Folinsäure;Haemato-folin, Leucovorin, Ribofolin, Calciumfolinat;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF03
SO;Leucovorin;Folinsäure;Haemato-folin, Leucovorin, Ribofolin, Calciumfolinat;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF03
